created_at,tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,client,hashtags,urls,media_type,media_urls
4/7/24 7:25,'1776843688783827016',"@ms_christinak That scene is a way for the director to use a metaphor to tell you something about the characters in a short, easy way without getting into an hour-long discussion. It's not meant to be an accurate representation of some specific trip.",en,Reply,3,119,1,3,5365,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/7/24 7:23,'1776843165074612225',@_A_varice @jaredlholt he looks great!,en,Reply,0,187,4,3,21787,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/7/24 5:11,'1776810047492022557',"Other things give it away, such as his low-rise trousers (which again, indicate he's likely wearing cheap ready-to-wear that's downmarket of early 2000s trends). All indicators point to a striver who wants to look rich but isn't familiar enough with the look to get it right. https://t.co/3C69rHgooW",en,Reply,194,8483,110,59,748363,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/GKh9RnLaYAAyVNa.jpg
4/7/24 5:33,'1776815463307399647',"I should add there's nothing wrong with not dressing like an aristocrat. There are many grand traditions, even in tailoring, that are tremendously stylish and have nothing to do with British royals (e.g. Tommy Nutter, Edward Sexton). Am just saying it's obvs he's not aristo https://t.co/PrJpM0Xfcz",en,Reply,602,11243,147,80,584477,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/GKiEFC3bYAA-Evr.jpg,https://pbs.twimg.com/media/GKiEOqJbcAAoPC-.jpg"
4/7/24 5:11,'1776810045260582922',"Finally, he's wearing an American striped tie, and we don't have aristocrats in the United States. This is the ersatz version of the true aristocrat's tie, which has stripes running in the other direction and in colors indicating the wearer's membership in some organization. https://t.co/FXKt3S316w",en,Reply,104,5917,57,10,519908,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/GKh83ybbgAAxR_y.jpg
4/7/24 5:11,'1776810043142447308',"Secondly, his collar points don't reach his lapels. This is a strong indication his shirt is ready-to-wear, not bespoke. And since it's 2024, the shirt is likely a cheap downmarket version of early 2000 trends (as influenced by Thom Browne, Rag &amp; Bone, and Band of Outsiders) https://t.co/o3hP8pIot5",en,Reply,200,6521,72,13,509828,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/GKh8RiFbEAAZtlW.jpg
3/19/24 15:02,'1770088444867293535',🚴‍♀️ Ma façon de ressentir le frisson. Pédalez à travers les magnifiques vues de Slovénie sur des routes excitantes et des sentiers de montagne. Ressentez l'adrénaline alors que chaque virage révèle une beauté naturelle inégalée. Équipez-vous. #ifeelsLOVEnia #myway #sloveniaoutdoor,fr,Tweet,1,33,2,0,327620,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","#ifeelsLOVEnia,#myway,#sloveniaoutdoor",,,
4/7/24 5:11,'1776810040336498698',"First, he's not only wearing a brown belt with a dark worsted suit, but he's wearing a tan belt. We can presume this means he's either wearing tan shoes or his belt doesn't match his shoes. Neither of which is something an aristocrat would ever do, as tan is a casual color",en,Reply,176,6698,60,5,491337,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/GKh8vmkaEAAS8s3.jpg
4/7/24 1:45,'1776758277285785662',trump on trial for tampering but innocent of tapering,en,Tweet,176,7682,187,178,831444,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/7/24 0:05,'1776733008969847217',"born to say ""my male friend, i love your little outfit today"" forced to say ""sheesh"" ""big drip"" and ""he got that shit on""",en,Tweet,961,26262,2032,61,982180,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/6/24 20:28,'1776678283834437856',1994 feels like 2 years ago but somehow 2015 feels like 30 years ago,en,Tweet,68,1408,85,20,277001,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
3/19/24 15:05,'1770089098654425435',"🌆 Ma façon d'explorer le paysage urbain. Pédalez à travers les cités animées, où chaque rue et chemin offre une nouvelle découverte. Des allées historiques aux rues modernes, découvrez le charme urbain en 2 roues. #ifeelsLOVEnia #myway #sloveniaoutdoor",fr,Tweet,2,33,2,0,308646,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","#ifeelsLOVEnia,#myway,#sloveniaoutdoor",,,
4/6/24 5:42,'1776455437862531411',@fellinysl Congratulations!! What a day for both of you!,en,Reply,0,37,1,0,34476,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/6/24 3:39,'1776424486843359601',samba this samba that. can samba-dee get us affordable housing??,en,Tweet,76,4438,177,25,410279,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/6/24 3:47,'1776426448884281604',the bad puns will continue until everyone is housed and everyone who works 40 hrs/ week can put down 20% on a home within 10 years,en,Reply,21,4054,77,10,164383,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/6/24 1:10,'1776387036670530014',"@EntertainUrDad @constans @RexKwonDo92 @SwannMarcus89 Oh well. I was only trying to raise some money for cats. In any case, you seem to have a serious problem with me, and my suggestion is, if you are this bothered by the idea that someone online doesn't like skinny suits, you should block them.",en,Reply,0,37,2,2,3024,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/6/24 0:17,'1776373622762029343',"women are not a monolith and if you ask ten women how they think a man should dress, you may get ten diff answers. some good ideas; some bad. if you have no personal sense of aesthetics, you will not be able to adjudicate btw them. also, not everyone dresses to attract ppl",en,Tweet,564,13308,608,185,842285,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/6/24 1:08,'1776386542254313492',@nat_fitz1 I think it's fine to talk about dress. It's your right to not listen to something if you're not interested in it.,en,Reply,2,646,5,1,20351,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/6/24 1:05,'1776385802408452444',@EntertainUrDad @constans @RexKwonDo92 @SwannMarcus89 Would you care to make a wager? $300 to a charity of the winner's choice. I will put up two photos: that image of Craig and an image of a man in a suit I prefer. Then give people 24 hours to vote on who looks better.,en,Reply,0,25,2,1,1979,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/6/24 0:38,'1776378958256521484',"IMO, dress should say something about you. It should work for your personality and lifestyle. That means learning how to use clothes as language. I once wrote about two friends with very different styles, but each suited for their personalities.

🔗: https://t.co/1Y8X9Qidmd https://t.co/JNbhlqR6A3",en,Reply,383,2347,97,48,169040,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://blst.to/PynzUNR,photo,"https://pbs.twimg.com/media/GKb3EjObwAAYcvL.jpg,https://pbs.twimg.com/media/GKb3Fx5bIAAHog0.jpg,https://pbs.twimg.com/media/GKb3FyIaQAAxtUI.jpg,https://pbs.twimg.com/media/GKb3FyhaAAEBpXA.jpg"
4/5/24 23:12,'1776357351064494253',"@SleeplesssInKy This is so sweet and beautiful. Unfortunately, I'm not a very good cook, but a good friend of mine loves trying out new recipes, and I will be passing this along to her.",en,Reply,8,644,2,6,56675,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/5/24 18:56,'1776292853641363701',"here's my friend @urban_comp wearing that exact outfit for:

Post Romantic silk shirt: $115
Vintage Paul Stuart gabardine trousers: free (got from his uncle, but you can find this on eBay for like $75)
Vintage Burberry raincoat: $200 https://t.co/2GOTuLFhUH",en,Tweet,2505,12488,343,254,1004308,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/GKaosq0bwAADgJP.jpg,https://pbs.twimg.com/media/GKaoV-QaoAAiXwR.jpg"
4/5/24 21:52,'1776337025031192998',"@blumpth @samuli_hirsi @urban_comp that's kapital's ring coat, which is a mashup of a Japanese kimono (sleeve design) and an American Army field jacket (pocket design)",en,Reply,23,98,1,3,6030,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/5/24 21:30,'1776331641633620353',"it's genuinely fun to do threads like ""OK, here are 10 reasons why Roger Rabbit is more stylish than this alpha crypto bro""",en,Tweet,117,6552,204,42,355631,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/5/24 21:36,'1776333037866983727',"historically, handsewn yellow peccary gloves, such as those made by Camille Fournet in Paris, were a mark of the upper classes https://t.co/Olez3zICmb",en,Reply,88,2857,78,21,202536,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/GKbNRliaIAAMjqO.jpg,https://pbs.twimg.com/media/GKbNbDcbwAAXJbk.jpg"
4/5/24 21:05,'1776325315893379311',"@JamesMilner11 @urban_comp He bought his at a thrift store in San Francisco. I think Wasteland, but I can't remember.",en,Reply,14,428,2,5,41041,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/5/24 18:44,'1776289805820928468',when I say I got that dog in me this is what I mean,en,Tweet,176,6357,395,30,386964,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/5/24 20:32,'1776317092331241611',@JaneyGodley what a cutie,en,Reply,0,6,1,0,2269,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/5/24 9:24,'1776148941278781833',I will give two reasons why you should wear a tie if you're in a formal business suit. 🧵,en,Tweet,11369,19593,1082,433,9815776,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/5/24 20:24,'1776314990712201224',@DarwinSantosNYC He looks fantastic! I also love the car.,en,Reply,3,447,2,3,48122,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/5/24 20:12,'1776312081798906252',so good,en,Tweet,114,1882,39,29,302429,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/5/24 20:10,'1776311493203730945',@chrisjollyhale you look great!,en,Reply,3,256,1,2,36272,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/5/24 20:05,'1776310275127624115',"@unes33501870 I don't assume that all women find the outfit on the left attractive, but regardless, while it's fine for people to dress for the purpose of attracting their desired gender, not all fashion is about doing so. many good fashions can be downright disfiguring. https://t.co/usIUFfFepD",en,Reply,52,1765,16,9,69783,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/GKa4rabbcAEDJOc.jpg,https://pbs.twimg.com/media/GKa4vkibkAAReaV.jpg,https://pbs.twimg.com/media/GKa4vkvbwAEgnuR.jpg"
4/5/24 19:21,'1776299074037412241',@ourwaters @urban_comp in san francisco,it,Reply,1,199,1,5,21852,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/5/24 19:10,'1776296263597932681',@samuli_hirsi @urban_comp you think men in the 1950s dressed like this? https://t.co/hCSdFLQmoE,en,Reply,1,77,1,1,7475,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/GKasB-bbwAAiJol.jpg
4/5/24 19:09,'1776296071058301290',@HaraldWest1 @urban_comp you can get almost any shirt custom made through @ProperCloth,en,Reply,75,216,3,2,35179,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/5/24 19:07,'1776295555951632694',"@samuli_hirsi @urban_comp can they change? yes, men's fashion has a changed quite a bit and there's a lot of variation https://t.co/tWS1OJagJ5",en,Reply,33,438,8,13,41693,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/GKarVcnaIAAvMAR.jpg,https://pbs.twimg.com/media/GKarXDZaIAEuogT.jpg,https://pbs.twimg.com/media/GKarXDbbwAUr7in.jpg,https://pbs.twimg.com/media/GKarYvSagAAKa7a.jpg"
4/5/24 18:59,'1776293523484295585',@josecurielm @urban_comp https://t.co/FVGYExZQNr,qme,Reply,316,429,11,2,30411,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://putthison.com/how-to-do-business-casual-without-looking-like-a/,,
4/5/24 18:58,'1776293467364507786',@HTTP_Lovecraft @urban_comp someone in that thread tagged me,en,Reply,5,1568,2,10,60293,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/5/24 18:44,'1776289805820928468',when I say I got that dog in me this is what I mean,en,Tweet,176,6357,395,30,386969,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/5/24 11:46,'1776184681253450022',"@naab_kaar this thread has included multiple solutions to going tieless:

1. wear a more casual suit
2. find a more casual top

no one is telling you to wear a tie. i am only suggesting there are better ways to go tieless and that dark worsted suit with white shirts look bad without ties",en,Reply,4,171,3,1,5226,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/5/24 10:44,'1776169092703269217',"@EntitledPublic Both of us will be dead long before then, so the outcome at that point will not matter to either of us.",en,Reply,10,1445,8,3,74222,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/5/24 6:52,'1776110738295415190',"Style Lessons from George Costanza

In this thread, I will talk about some dos and don'ts of men's tailoring using one of my favorite style icons, George Costanza. 🧵",en,Tweet,16858,39838,3664,451,7977031,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/GKYCUaHb0AAY3T1.jpg
4/5/24 10:09,'1776160178280214718',"@StephersATL @MelonThor I don't care if you take me seriously, as I don't get any money from you nor do I care if you dress well",en,Reply,22,2542,16,27,30051,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/5/24 9:44,'1776154031179579520',"@Feliciatedx Unfortunately, I don't know much about womenswear.",en,Reply,0,15,0,1,6179,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/5/24 9:34,'1776151507848581121',"@naab_kaar I can't speak to dress customs in India. But if it's the case that you don't wish to wear things that remind you of Western imperialism, then don't wear the dark business suit at all. We have then reached the same agreement.",en,Reply,7,1021,6,4,22884,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/5/24 9:29,'1776150140174377370',"@naab_kaar Very few people nowadays are required to wear a tie, and in many powerful sectors, such as tech, you are judged negatively for wearing one. Much of the world today has long transitioned to business casual. See Zuckerberg and the owner of this site, Musk",en,Reply,23,1279,11,6,89711,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/5/24 9:24,'1776148977169391907',"So, my two arguments are:

1. If you love that period of classic men's dress from the 1930s through 80s, think about the language that made it great. Then figure out how to modernize it. 

2. In terms of pure aesthetics, dark suits look drab without some color and sheen https://t.co/mTLi5FbNNC",en,Reply,195,2492,45,18,311180,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/GKYk0ataYAAvHZz.jpg
4/5/24 9:24,'1776148979253969070',"If you wish to go tieless, consider more casual forms or tailoring and tops. If you complain about the drabness of tailoring in general (even the stuff I think is expressive and fun), then at least don't wear business casual. Wear more interesting casualwear. https://t.co/ScZGUAHoDB",en,Reply,178,2473,37,59,292445,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/GKYkvQ5awAAvuMl.jpg,https://pbs.twimg.com/media/GKYkvQ4bIAAYPqk.jpg"
4/5/24 9:24,'1776148975177073135',"This sort of modern uniform neither has the elegance of classic tailoring nor the expression possible in casualwear. It's vanilla bland. What's driving it is not freedom, but fear of being judged. For many men, it's scary to be perceived as being interested in clothes. https://t.co/IpDmi2RczL",en,Reply,214,3574,185,24,315171,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/GKYjd39bMAAgtl9.jpg,https://pbs.twimg.com/media/GKYj0ukbkAA1jaN.jpg"
3/19/24 15:00,'1770087940544143709',"🌄Dépasser ses limites à ma façon. Que vous recherchiez des sentiers paisibles ou difficiles, la Slovénie offre des sentiers pour chacun. Découvrez des vues à couper le souffle qui récompensent vos efforts de beauté et d'inspiration. #ifeelsLOVEnia #myway #sloveniaoutdoor",fr,Tweet,3,31,3,0,330266,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","#ifeelsLOVEnia,#myway,#sloveniaoutdoor",,,
4/5/24 7:20,'1776117650642567409',@MelonThor George Soros pays me to do these threads.,en,Reply,50,11810,81,90,219351,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/5/24 6:52,'1776110762207187302',"10. Don't wear black dress shirts

Especially in dressy materials like a very smooth poplin. If you want to wear a black button-up, try a casual material like a black denim Western shirt or needlecord. Or better yet, a knit like George here. It's more tasteful.",en,Reply,199,3642,42,53,420021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/GKYBKUDbQAAFO6Q.jpg,https://pbs.twimg.com/media/GKYBpcwbUAElNZ7.jpg"
4/5/24 6:52,'1776110764732162286',"If you enjoyed these looks, it's perhaps worth pointing out that they appeared on television nearly thirty years ago. The fact that George Costanza remains a style icon is a testament to the timelessness of these guidelines. Ignore them at your peril. https://t.co/LbeU30GMSd",en,Reply,411,10953,243,102,399077,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/GKYB8PRawAAVEeS.jpg
4/5/24 6:52,'1776110759329866219',"9. Check for balance

When trying on a jacket, check to see if the jacket hangs evenly from front to back. Tailors call this ""balance."" The front can be lower or level with the back, but it should never be higher than the back. This can be a challenge for barrel-chested guys.",en,Reply,117,3504,39,17,349922,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/GKYAxsQaoAA4iPk.jpg,https://pbs.twimg.com/media/GKYA3_GbwAAOGVZ.jpg"
4/5/24 5:27,'1776089269754577123',"did a pod with my friend @urban_comp about how clothing retailers can bring people back to brick-and-mortar stores. but first, @urban_comp reminisces about a Scorsese film about Armani

🔗: https://t.co/9o2IBvtd00 https://t.co/LHEuvfGXnM",en,Tweet,182,419,27,10,132941,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://blst.to/FAh6LdW,video,https://video.twimg.com/ext_tw_video/1776088652118159360/pu/vid/avc1/720x1280/f19Sq99aF8qLY4op.mp4?tag=12
4/5/24 2:16,'1776041239684804915',"Let's talk about some of the tailoring and choices in this photo, and how you can avoid making the same mistakes. 🧵",en,Tweet,34936,144608,9215,1286,37678539,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/5/24 4:42,'1776077957502755037',"@Redrob1767035 talking about tailoring has no gender, but historically speaking, bespoke cutters and the people who wrote about them were men https://t.co/IEHiPUzqNv",en,Reply,233,12045,99,17,468595,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/GKXlT-RaUAA7qQN.jpg,https://pbs.twimg.com/media/GKXlT-SboAAOZej.jpg,https://pbs.twimg.com/media/GKXlfN-bsAAe6yu.jpg,https://pbs.twimg.com/media/GKXlfN7awAABfNE.jpg"
4/5/24 4:37,'1776076667561422978',@MisterMojoHand @AleksandrKallus both,en,Reply,2,874,2,6,80244,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/5/24 4:26,'1776073860397588625',"we need walkable neighborhoods with multi-family housing so i can open the window and feed your dog treats

https://t.co/QWLwwNfFJU",en,Tweet,166,5903,258,31,402430,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/ext_tw_video/1776021691870633984/pu/vid/avc1/576x1024/1n5WW3jvtsHTh9Pa.mp4?tag=12
4/5/24 2:42,'1776047825941569923',"@JaKaJeeM @ReadOffline He turned 18 on March 20, but even if he was 19, I consider that age a child.",en,Reply,28,7404,29,51,226654,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/5/24 2:33,'1776045372416438650',@AleksandrKallus The suit is pretty good but the tie is very bad taste,en,Reply,60,7908,12,33,635892,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/5/24 2:32,'1776045087543480444',"@ReadOffline IMO, people should not comment on children.",en,Reply,78,17998,83,63,576573,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/5/24 2:16,'1776041264628338803',"The trousers should hang clean and the jacket should flow into the trousers. Jeans should not be cut like dress trousers, but even when wearing something like chinos or jeans with a tailored jacket, you can see how the two parts need to form a coherent whole. https://t.co/ppGvutJX1B",en,Reply,2133,10604,176,26,1172500,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/GKXDzQiaYAAk2l8.jpg,https://pbs.twimg.com/media/GKXDxFcaoAAtQ_w.jpg,https://pbs.twimg.com/media/GKXDvS8bYAAT0X9.jpg,https://pbs.twimg.com/media/GKXD1DMawAAwwqI.jpg"
4/5/24 2:16,'1776041266880692640',"IMO, we should take our country back from made-to-measure clothiers run by marketing people instead of tailors; from bad-taste shoes; and from the idea that everyone needs to squeeze into slim-fit tailoring instead of dressing for their body type https://t.co/AmL2IjOJvL",en,Reply,587,24416,719,202,1232160,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/GKXEE03bYAAebx5.jpg
4/5/24 2:16,'1776041261993955501',"Finally, jacket and trousers should always work together to form a harmonious whole. When trousers are too low rise and tapered like this, they look at odds with the coat. https://t.co/ewcx38yCMx",en,Reply,123,7240,90,52,1174660,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/GKXCD9JbYAAqekW.jpg
4/5/24 2:16,'1776041244722180519',"A lot of guys should first get it out of their head that slimmer is better. Some outfits can be slim! But the point of tailoring is not always to make things as slim as possible. It's about flattering your body's shape, not recreating it. https://t.co/srkTt6OZ35",en,Reply,244,9571,144,10,1718739,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/GKW8fTPbsAAaFDC.jpg
4/4/24 21:41,'1775971970875892149',"a lot of you are not into fashion, you are into skinny bodies, athletic bodies, young people, the idea of wealth, and images of new york city",en,Tweet,4221,82771,8096,401,4365669,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/5/24 1:09,'1776024373058777551',@theprimedude @sosagamboa @DerJakemeister I agree that many men today work in professional environments that limit their dress options. But that uniform (business casual) is not very stylish (IMO). But my page is not about how to advance your career in business casual offices; it's only about menswear.,en,Reply,1,27,1,0,1023,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/5/24 1:00,'1776022106414956883',"@theprimedude @sosagamboa @DerJakemeister I think the outfit he posted looks great and more stylish than the business casual stuff (chinos + dress shirt, slacks + dress shirt, and slim fit tailoring)",en,Reply,0,28,1,1,808,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/4/24 23:27,'1775998609043099803',"@theprimedude @BooHetz That's fine, but in terms of style, it doesn't make for a very stylish outfit.",en,Reply,2,191,1,4,6878,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
